date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1991-07-01,136.64,138.62,136.56,136.85,2294000,12469000.0,-0.71,-0.52
1991-07-02,135.91,135.96,135.69,135.96,283800,3794000.0,-0.89,-0.65
1991-07-03,135.28,135.96,134.98,135.27,271500,1818000.0,-0.69,-0.51
1991-07-04,136.63,136.63,134.19,136.63,1339400,8095000.0,1.36,1.01
1991-07-05,136.01,137.68,135.9,135.96,1454000,9394000.0,-0.67,-0.49
1991-07-08,135.26,135.28,134.93,135.28,587400,2925000.0,-0.68,-0.5
1991-07-09,136.56,136.57,134.31,134.64,844200,4174000.0,-0.64,-0.47
1991-07-10,134.4,135.6,133.72,133.99,602300,2894000.0,-0.65,-0.48
1991-07-11,133.22,133.99,133.13,133.38,507300,2417000.0,-0.61,-0.46
1991-07-12,132.8,133.38,132.42,132.8,314400,1484000.0,-0.58,-0.43
1991-07-15,133.9,134.1,131.87,133.14,1193800,5534000.0,0.34,0.26
1991-07-16,134.39,134.47,133.14,134.47,279600,1328000.0,1.33,1.0
1991-07-17,135.81,135.81,135.39,135.81,66000,397000.0,1.34,1.0
1991-07-18,137.17,137.17,135.81,137.17,84700,464000.0,1.36,1.0
1991-07-19,137.66,138.54,136.66,136.7,1082300,5242000.0,-0.47,-0.34
1991-07-22,138.07,138.07,136.7,138.07,276400,1423000.0,1.37,1.0
1991-07-23,139.35,139.39,138.07,139.39,724100,3548000.0,1.32,0.96
1991-07-24,140.66,140.74,138.69,140.68,598800,2901000.0,1.29,0.93
1991-07-25,140.2,141.01,139.99,140.19,839000,4080000.0,-0.49,-0.35
1991-07-26,140.11,141.46,139.27,140.66,927900,4520000.0,0.47,0.34
1991-07-29,141.22,141.72,140.81,141.52,477100,2350000.0,0.86,0.61
1991-07-30,142.39,142.45,141.39,142.39,560100,2718000.0,0.87,0.61
1991-07-31,143.72,143.8,142.39,143.8,405100,1993000.0,1.41,0.99
1991-08-01,145.12,145.24,143.8,145.24,473100,2310000.0,1.44,1.0
